long,lat,epsg3413_x,epsg3413_y,elevation,id,meters_from_site,inclination_from_site,bearing_from_site
-149.0849983363,61.8950864177,-3011277.5,755542.5,1885.019,1,2608.467,12.54959012,253.49281415
-149.0850207925,61.8951286436,-3011272.5,755542.5,1881.199,2,2606.920,12.47678073,253.55594618
-149.0850432488,61.8951708694,-3011267.5,755542.5,1876.991,3,2605.381,12.39567867,253.61904979
-149.0849088353,61.8950970123,-3011277.5,755537.5,1886.179,4,2603.714,12.59608578,253.47219333
-149.0847968783,61.895065381,-3011282.5,755532.5,1886.703,5,2600.523,12.62204604,253.38805139
-149.0847073773,61.8950759754,-3011282.5,755527.5,1887.220,6,2595.775,12.65524797,253.36711884
-149.0846178762,61.8950865698,-3011282.5,755522.5,1887.315,7,2591.028,12.67968949,253.34609801
-149.0857632024,61.8972400966,-3011027.5,755522.5,1835.887,8,2522.530,11.8986866,256.55616939
-149.0857856616,61.8972823227,-3011022.5,755522.5,1835.244,9,2521.426,11.8897689,256.61825628
-149.0858081209,61.8973245488,-3011017.5,755522.5,1832.836,10,2520.331,11.84235673,256.6803081
-149.0858305802,61.8973667749,-3011012.5,755522.5,1830.131,11,2519.246,11.78837927,256.74232473
-149.0858754991,61.8974512271,-3011002.5,755522.5,1824.294,12,2517.105,11.67074193,256.86625199
-149.0856512356,61.8972084657,-3011032.5,755517.5,1835.416,13,2518.770,11.90568409,256.47978988
-149.0856736946,61.8972506918,-3011027.5,755517.5,1836.430,14,2517.655,11.93290072,256.54204619
-149.08580845,61.8975040486,-3010997.5,755517.5,1821.998,15,2511.160,11.6473794,256.91484358
-149.0854943516,61.8970923825,-3011047.5,755512.5,1830.341,16,2517.307,11.80177059,256.27808805
-149.0855168103,61.8971346087,-3011042.5,755512.5,1832.329,17,2516.161,11.85036757,256.34058426
-149.085539269,61.8971768348,-3011037.5,755512.5,1834.357,18,2515.024,11.89980829,256.40304563
-149.0855617278,61.8972190609,-3011032.5,755512.5,1835.564,19,2513.897,11.93132821,256.46547207
-149.0857414007,61.8975568701,-3010992.5,755512.5,1819.872,20,2505.222,11.6275799,256.96361127
-149.0853823857,61.8970607515,-3011052.5,755507.5,1828.423,21,2513.599,11.77681021,256.20063515
-149.0842598711,61.8951289468,-3011282.5,755502.5,1882.467,22,2572.049,12.66743865,253.26112073
-149.0841703696,61.8951395409,-3011282.5,755497.5,1881.689,23,2567.307,12.67354521,253.2396501
-149.0840359587,61.8950656828,-3011292.5,755492.5,1883.150,24,2565.761,12.71199387,253.08889192
-149.0840584134,61.8951079088,-3011287.5,755492.5,1882.609,25,2564.159,12.70815856,253.15350421
-149.0850516754,61.8998378671,-3010747.5,755412.5,1838.054,26,2366.285,12.70972352,259.8195577
-149.0850741357,61.8998800938,-3010742.5,755412.5,1839.312,27,2365.700,12.7417546,259.88243131
-149.085096596,61.8999223205,-3010737.5,755412.5,1839.511,28,2365.125,12.74934274,259.94526042
-149.0851190564,61.8999645472,-3010732.5,755412.5,1839.111,29,2364.561,12.74304973,260.00804494
-149.0851415169,61.9000067739,-3010727.5,755412.5,1837.392,30,2364.007,12.70630142,260.07078476
-149.0851639774,61.9000490006,-3010722.5,755412.5,1834.679,31,2363.464,12.64652806,260.13347977
-149.0853436641,61.9003868144,-3010682.5,755412.5,1825.656,32,2359.495,12.45836132,260.63341487
-149.0853661253,61.9004290412,-3010677.5,755412.5,1826.375,33,2359.046,12.47731214,260.69570213
-149.0855233554,61.9007246284,-3010642.5,755412.5,1869.534,34,2356.199,13.48836028,261.13042524
